№,Point_type,Category,Name_mon,Name_eng,Aimag_name_mon,Aimag_name_eng,Sum_name_mon,Sum_name_eng,Lat,Long,Description_mon,Description_eng,Photo_URL,Name_kr,Name_jp,Name_cn,Name_ru,Description_kor,Description_jpn,Description_zho,Description_rus
146,1,Байгалийн үзэсгэлэнт газар,Нарийн худаг,Nariin Khudag,Говь-Алтай,Govi-Altai,Эрдэнэ,Erdene,44.81484,97.3287,Эрдэнэ сумын төвөөс баруун өмнө зүгт 57 км зайд оршино.,It is located 57 km southwest of the center of Erdene soum.,https://www.dropbox.com/scl/fi/pk9gghxvn30zih3x0iynu/.jpg?rlkey=c0gynk42lpu15c1nj2h1d6sov&raw=1,나린 쿠다그,ナリン・クダグ,纳里因·库达格,Нариин Худаг,Erdene soum 중심에서 남서쪽으로 57km 떨어져 있습니다.,エルデネ・ソムの中心部から南西に57kmに位置しています。,它位于额尔登苏姆市中心西南57公里处。,Расположен в 57 км к юго-западу от центра сомона Эрдэнэ.
147,3,Шашны дурсгалт газар,Бигэр Номуун ханы хүрээний туурь,Biger Nomuun Khan Monastery Ruin,Говь-Алтай,Govi-Altai,Бигэр,Biger,45.8068,97.00925,"Бигэр сумын төвөөс баруун хойд зүгт 17.5 км оршино. Засагт хан аймгийн Ёст засгийн хошуу, Итгэмжит засгийн хошуутай зах нийлж байв. Ардын дунд Бигэрийн Номун хан хутагт хэмээн алдаршчээ. ",It is located 17.5 km northwest of the center of Biger soum. It was a market town with Yost Khosh and Itgemjit Khosh of Zasagt Khan aimag. He was known among the people as Nomun Khan Khutugt of Biger.,https://www.dropbox.com/scl/fi/vyxdjakr5iz3w2skayzvp/.jpg?rlkey=eyqq9iop05sbt1jxa1y9oj3cq&raw=1,더 큰 노무운 칸 수도원 유적,ビッグ・ノムーン・カーン僧院跡,比格诺蒙汗寺遗址,Руины монастыря Бигэр Номуун-хана,비거솜 중심에서 북서쪽으로 17.5km 떨어진 곳에 위치해 있다. Zasagt Khan aimag의 Yost Khosh와 Itgemjit Khosh가 있는 시장 도시였습니다. 그는 사람들 사이에서 Biger의 Nomun Khan Khutugt로 알려졌습니다.,ビガー スームの中心部から北西 17.5 km に位置します。そこはザサグト・カーン・アイマグのヨスト・コシュとイトゲムジット・コシュがいる市場町でした。彼は人々の間ではビガーのノムン・カーン・クトゥクトとして知られていました。,它位于比格苏姆中心西北17.5公里处。这是一个集镇，有扎萨特汗艾马格的 Yost Khosh 和 Itgemjit Khosh。他被人们称为比格的诺蒙汗呼图格特。,"Он расположен в 17,5 км к северо-западу от центра Бигер-сума. Это был торговый городок с Йост-Хошем и Итгемжит-Хошем аймака Засагт-хана. В народе он был известен как Номун-хан Хутугт из Бигера."
148,1,Байгалийн үзэсгэлэнт газар,Онцын улаан явар,Ontsyn Ulaan Yavar,Говь-Алтай,Govi-Altai,"Бигэр, Халиун","Biger, Khaliun",45.89859,96.76142,Бигэр сумын төвөөс баруун хойд зүгт 37 км зайтай оршино.,It is located 37 km northwest of the center of Biger soum.,https://www.dropbox.com/scl/fi/gi7ko4hffpwj7cinl237m/.jpg?rlkey=t9o6gdg9rebdk46tx9qjso4qg&raw=1,온친 울란 야바르,オンツィン・ウラーン・ヤヴァル,翁岑乌兰亚瓦尔,Онцин Улаан Явар,비거솜(Biger soum) 중심에서 북서쪽으로 37km 떨어진 곳에 위치해 있다.,ビガー スームの中心部から北西 37 km に位置します。,它位于比格苏姆中心西北37公里处。,Он расположен в 37 км к северо-западу от центра Бигер-сума.
149,3,Шашны дурсгалт газар,Өлзийт булгийн хийдийн туурь ,Ulziit Bulag Monastery Ruin,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.46551,98.23848,Чандмань сумын төвөөс зүүн хойд зүгт 39 км зайтай оршино.,It is located 39 km northeast of the center of Chandman soum.,https://www.dropbox.com/scl/fi/0b2q1yolybs06trufxmwf/.jpg?rlkey=jgrx6qeuhjdgrvg9a1jjzmgsa&raw=1,울지트 불라그 수도원 폐허,ウルツィット・ブラグ修道院跡,乌尔济特·布拉格修道院遗址,Руины монастыря Улзиит Булаг,Chandman soum 중심에서 북동쪽으로 39km 떨어져 있습니다.,チャンドマン スームの中心部から北東 39 km に位置します。,它位于昌德曼苏姆中心东北39公里处。,Он расположен в 39 км к северо-востоку от центра сума Чандман.
150,1,Байгалийн үзэсгэлэнт газар,Сутай хайрхан уул (4090м),Sutai Khairkhan Mountain (4090m),Говь-Алтай,Govi-Altai,Тонхил,Tonkhil,46.61776,93.59401,"Төрийн тахилгат Сутай хайрхан уулын ихэнх нь Говь-Алтай аймгийн Тонхил сумын нутагт оршдог боловч цаад талаараа Ховд аймгийн Дарви, Цэцэг сумын нутагт хамаарах хайрхан юм. Ноён оргил Цаст богд нь д.т.д 4234 метр өндөр бөгөөд Сутай хайрхан уул 60 км сунаж тогтсон. ","Most of the state-sanctioned Sutai Khairkhan Mountain is located in the territory of Tonkhil soum of Gobi-Altai aimag, but the rest of the mountain belongs to the territories of Darvi and Tsetseg soums of Khovd aimag. The peak is Tsast Bogd, which is 4234 meters above sea level, and Sutai Khairkhan Mountain stretches for 60 km.",https://www.dropbox.com/scl/fi/5hes8eoy7ozu9wbfx241m/.jpg?rlkey=gkfs8m4ajpil5bxonlmx4bl14&raw=1,수타이 카이르칸 산,スタイ・ハイルカン山,苏泰凯尔汗山,Гора Сутай Хайрхан,"국가가 승인한 Sutai Khairkhan 산의 대부분은 Gobi-Altai aimag의 Tonkhil soum 영토에 위치하고 있지만 나머지 산은 Khovd aimag의 Darvi 및 Tsetseg soum 영토에 속합니다. 최고봉은 해발 4234m의 차스트 복드(Tsast Bogd)이며, 수타이 카이르칸산(Sutai Khairkhan Mountain)은 60km에 걸쳐 뻗어 있다.",国家認可のスタイ・ハイルハン山のほとんどはゴビ・アルタイ地域のトンキル・ソムの領土に位置しているが、山の残りの部分はホブド・アイマグのダルヴィ・ソムとツェツェグ・ソムの領土に属している。頂上は標高4234メートルのツァスト・ボグドで、スタイ・ハイルカン山は60キロメートルにわたって伸びています。,国家批准的苏泰凯尔汗山的大部分位于戈壁-阿尔泰省的通基勒苏姆地区，但山的其余部分属于科布多省的达尔维和采采格苏姆地区。最高峰是察斯特博格德，海拔4234米，苏泰凯尔汗山绵延60公里。,"Большая часть санкционированной государством горы Сутай Хайрхан расположена на территории сума Тонхил Гоби-Алтайского аймака, но остальная часть горы принадлежит территориям сомонов Дарви и Цецег аймака Ховд. Вершина — Цаст Богд, высота которой составляет 4234 метра над уровнем моря, а гора Сутай Хайрхан протянулась на 60 км."
151,1,Байгалийн үзэсгэлэнт газар,Сухайтын булаг,Sukhait Spring,Говь-Алтай,Govi-Altai,Цогт,Tsogt,45.0792,96.64386,Цогт сумын төвөөс өмнө зүгт 40 км зайтай оршино.,It is located 40 km south of the center of Tsogt soum.,https://www.dropbox.com/scl/fi/6d0la99ro179w0crw3k6v/.jpg?rlkey=thte3nfykra0ab3ulsl51e5f7&raw=1,수카이트 봄,スカイト 春,素凯 春天,Сухаит Весна,Tsogt soum 중심에서 남쪽으로 40km 떨어져 있습니다.,ツォグト・スムの中心部から南に40kmに位置しています。,它位于措格特苏姆中心以南40公里处。,Он расположен в 40 км к югу от центра сума Цогт.
152,1,Байгалийн үзэсгэлэнт газар,Тайгам нуур,Taigam Lake,Говь-Алтай,Govi-Altai,Дэлгэр,Delger,46.36218,97.40159,Тайгам нуур далайн түвшнээс дээш 1780 метр өндөрт байдаг. Тус нуурын баруун өмнө эрэгт Дэлгэр сумын төв байрладаг. ,"Lake Taigam is located at an altitude of 1,780 meters above sea level. The center of Delger soum is located on the southwestern shore of the lake.",https://www.dropbox.com/scl/fi/q2udex58kqmf15x7oc9fp/.jpg?rlkey=dfp76ble1zqwb71085br9d7kj&raw=1,태감호,タイガム湖,泰伽姆湖,Озеро Тайгам,"타이감호는 해발 1,780m에 위치해 있다. Delger soum의 중심은 호수 남서쪽 해안에 위치하고 있습니다.","タイガム湖は海抜 1,780 メートルの高地にあります。デルガー スームの中心部は湖の南西岸にあります。","Taigam湖海拔1,780米。德尔格苏姆的中心位于湖的西南岸。",Озеро Тайгам расположено на высоте 1780 метров над уровнем моря. Центр сомона Дэлгер расположен на юго-западном берегу озера.
153,2,Түүхийн дурсгалт газар,Тайширын усан цахилгаан станц,Taishir Hydropower Station,Говь-Алтай,Govi-Altai,Тайшир,Taishir,46.69481,96.6654,Тайшир сумын төвөөс зүүн урд зүгт 13 км зайтай оршино.,It is located 13 km southeast of the center of Taishir soum.,https://www.dropbox.com/scl/fi/jfnix9sn27879ifmt26u6/.jpg?rlkey=qmwe2mu7ujfb705ay8dpxg157&raw=1,타이시르 수력발전소,太子水力発電所,太舍尔水电站,Тайширская ГЭС,Taishir soum 중심에서 남동쪽으로 13km 떨어져 있습니다.,タイシル・ソムの中心部から南東13kmに位置する。,它位于Taishir soum中心东南13公里处。,Расположен в 13 км к юго-востоку от центра Тайширского сума.
154,1,Байгалийн үзэсгэлэнт газар,Тонхил нуур,Tonkhil Lake,Говь-Алтай,Govi-Altai,Тонхил,Tonkhil,46.18285,93.90512,Тонхил сумаас өмнө зүгт 16 км зайтай оршино.,It is located 16 km south of Tonkhil soum.,https://www.dropbox.com/scl/fi/772fzt4wzji76bkwoggk2/.jpg?rlkey=0cfa43vuxio721bkanso83k8c&raw=1,톤힐 호수,トンキル湖,通基尔湖,Озеро Тонхил,Tonkhil soum에서 남쪽으로 16km 떨어져 있습니다.,トンヒル・ソムの南16kmに位置する。,它位于Tonkhil soum以南16公里处。,Он расположен в 16 км к югу от сума Тонхил.
155,1,Байгалийн үзэсгэлэнт газар,Хутаг нуур,Khutag Lake,Говь-Алтай,Govi-Altai,Чандмань,Chandmani,45.23655,98.34225,Чандмань сумын төвөөс зүүн урд зүгт 30 км зайтай оршино. ,It is located 30 km southeast of the center of Chandman soum.,https://www.dropbox.com/scl/fi/8xuzfi05jtvzw9dszablf/.jpg?rlkey=ibk9zysudu3m3idc36clw5899&=1,쿠타그 호수,クータグ湖,库塔格湖,Озеро Хутаг,Chandman soum 중심에서 남동쪽으로 30km 떨어져 있습니다.,チャンドマン スームの中心部から南東 30 km に位置します。,它位于昌德曼苏姆中心东南30公里处。,Он расположен в 30 км к юго-востоку от центра сума Чандман.
